                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                 1.0006,                0.73693,                 1.0928,                0.94125,                0.96815,                  0.995,                0.66228,                 1.2566,                 1.3016,                 1.2745,              0.0002689,              0.0002689,              0.0002689
                     78,                0.96581,                0.74064,                 1.0102,                 0.9295,                0.96319,                0.99121,                0.63883,                 1.2596,                 1.5169,                 1.3195,             0.00026155,             0.00026155,             0.00026155
                     79,                 1.0602,                0.79439,                  1.083,                 0.9295,                0.96319,                0.99121,                0.63883,                 1.2596,                 1.5169,                 1.3195,             0.00025391,             0.00025391,             0.00025391
                     80,                 1.1584,                0.72817,                 1.0105,                 0.9295,                0.96319,                0.99121,                0.63883,                 1.2596,                 1.5169,                 1.3195,             0.00024599,             0.00024599,             0.00024599
                     81,                 1.1776,                 0.8401,                 1.1772,                0.87171,                0.94118,                0.97846,                0.65319,                 1.1578,                 1.9622,                 1.2031,             0.00023779,             0.00023779,             0.00023779
                     82,                0.93473,                0.77148,                 1.0843,                0.87171,                0.94118,                0.97846,                0.65319,                 1.1578,                 1.9622,                 1.2031,              0.0002293,              0.0002293,              0.0002293
                     83,                 1.0287,                0.91249,                  1.168,                0.87171,                0.94118,                0.97846,                0.65319,                 1.1578,                 1.9622,                 1.2031,             0.00022053,             0.00022053,             0.00022053
                     84,                0.88291,                0.88499,                 1.1017,                0.91242,                      1,                  0.995,                0.70392,                 1.0765,                 1.3015,                 1.1069,             0.00021148,             0.00021148,             0.00021148
                     85,                 1.0727,                0.67251,                0.95212,                0.91242,                      1,                  0.995,                0.70392,                 1.0765,                 1.3015,                 1.1069,             0.00020214,             0.00020214,             0.00020214
                     86,                 1.0791,                0.76454,                 1.0212,                0.91242,                      1,                  0.995,                0.70392,                 1.0765,                 1.3015,                 1.1069,             0.00019252,             0.00019252,             0.00019252
                     87,                0.98369,                0.73682,                 1.1233,                0.91242,                      1,                  0.995,                0.70392,                 1.0765,                 1.3015,                 1.1069,             0.00018262,             0.00018262,             0.00018262
                     88,                0.96005,                0.64638,                0.98507,                0.94515,                      1,                  0.995,                0.68089,                 1.0099,                0.89522,                 1.0047,             0.00017244,             0.00017244,             0.00017244
                     89,                 0.9318,                0.65587,                 0.9379,                0.94515,                      1,                  0.995,                0.68089,                 1.0099,                0.89522,                 1.0047,             0.00016197,             0.00016197,             0.00016197
                     90,                 1.0516,                0.71568,                 1.0256,                0.94515,                      1,                  0.995,                0.68089,                 1.0099,                0.89522,                 1.0047,             0.00015122,             0.00015122,             0.00015122
                     91,                 1.3004,                0.90079,                 1.1418,                0.94515,                      1,                  0.995,                0.68089,                 1.0099,                0.89522,                 1.0047,             0.00014018,             0.00014018,             0.00014018
                     92,                0.94084,                0.70345,                0.99733,                0.95455,                0.99123,                  0.995,                0.69637,                0.99068,                0.82417,                0.97904,             0.00012887,             0.00012887,             0.00012887
                     93,                  1.024,                0.70249,                 1.0718,                0.95455,                0.99123,                  0.995,                0.69637,                0.99068,                0.82417,                0.97904,             0.00011727,             0.00011727,             0.00011727
                     94,                 1.0662,                0.72613,                 1.1346,                0.95455,                0.99123,                  0.995,                0.69637,                0.99068,                0.82417,                0.97904,             0.00010539,             0.00010539,             0.00010539
                     95,                0.96125,                0.73623,                 1.0008,                0.95455,                0.99123,                  0.995,                0.69637,                0.99068,                0.82417,                0.97904,             9.3222e-05,             9.3222e-05,             9.3222e-05
                     96,                0.98885,                0.71699,                0.99152,                0.95264,                0.98925,                  0.995,                0.69516,                 0.9646,                0.79307,                0.95223,             8.0774e-05,             8.0774e-05,             8.0774e-05
                     97,                 1.0074,                0.71562,                 1.0388,                0.95264,                0.98925,                  0.995,                0.69516,                 0.9646,                0.79307,                0.95223,             6.8043e-05,             6.8043e-05,             6.8043e-05
                     98,                0.90678,                0.86709,                0.91437,                0.95264,                0.98925,                  0.995,                0.69516,                 0.9646,                0.79307,                0.95223,             5.5029e-05,             5.5029e-05,             5.5029e-05
                     99,                 1.0411,                0.76941,                 1.0408,                0.95264,                0.98925,                  0.995,                0.69516,                 0.9646,                0.79307,                0.95223,             4.1733e-05,             4.1733e-05,             4.1733e-05
                    100,                 1.0379,                0.74317,                0.92518,                0.95122,                0.98665,                  0.995,                0.69921,                0.93923,                0.72472,                0.94112,             2.8153e-05,             2.8153e-05,             2.8153e-05
